Brand,Variation,AssignedValue
Skoda, yeti outdoor,yetioutdoor
Skoda, Karoq,karoq
Skoda, fabia,fabia
Skoda, Kodia,kodiaq
Skoda, Yeti,yeti
Skoda, YETI OUTDOOR,yetioutdoor
Skoda, Rapi,rapid
Skoda, KAMIQ,kamiq
Skoda, rapid,rapid
Skoda, Citig,citigo
Skoda, Super,superb
Skoda, FABIA,fabia
Skoda,Karoq,karoq
Skoda, OCTAVIA,octavia
Skoda, SCALA,scala
Skoda, kodiaq,kodiaq
Skoda,Superb,superb
Skoda,Octavia,octavia
Skoda, citigo,citigo
Skoda, Yeti Outdoo,yetioutdoor
Skoda,Citigo,citigo
Skoda, Fabi,fabia
Skoda, yeti,yeti
Skoda, CITIGO,citigo
Skoda, superb,superb
Skoda, Roomste,roomster
Skoda,Scala,scala
Skoda, KAMI,kamiq
Skoda, karoq,karoq
Skoda, octavia,octavia
Skoda, KAROQ,karoq
Skoda, scala,scala
Skoda,kodiaq,kodiaq
Skoda, KODIAQ,kodiaq
Skoda,Octavi,octavia
Skoda, super,superb
Skoda, Karo,karoq
Skoda, Scal,scala
Skoda, scal,scala
Skoda,Roomster,roomster
Skoda, kamiq,kamiq
Skoda,Yeti Outdoor,yetioutdoor
Skoda, Yet,yeti
Skoda,FABIA,fabia
Skoda,Rapid,rapid
Skoda,octavia,octavia
Skoda,Yeti,yeti
Skoda,Kodiaq,kodiaq
Skoda, octavi,octavia
Skoda,Kamiq,kamiq
Skoda, yeti outdoo,yetioutdoor
Skoda, YETI,yeti
Skoda, OCTAVI,octavia
Hyundai, I30,i30
Hyundai, IX20,ix20
Hyundai, i20,i20
Hyundai, I20,i20
Hyundai, Kona,kona
Hyundai, I10,i10
Hyundai, Ioniq,ioniq
Hyundai, Tucson,tucson
Hyundai,Tucson,tucson
Hyundai, Santa Fe,santafe
Hyundai, I800,i800
Hyundai, Getz,getz
Hyundai, IX35,ix35
Hyundai, I40,i40
Hyundai, I3,i30
Hyundai, i10,i10
Hyundai, TUCSON,tucson
Hyundai, I1,i10
Hyundai, Tucso,tucson
Hyundai, i30,i30
Hyundai, KONA,kona
Hyundai,I10,i10
Hyundai,I40,i40
Hyundai, I80,i800
Hyundai, Ioni,ioniq
Hyundai, Veloste,terracan
Hyundai, Santa F,santafe
Hyundai, santa fe,santafe
Hyundai,Ioniq,ioniq
Hyundai, Kon,kona
Hyundai,Kona,kona
Hyundai, SANTA FE,santafe
Hyundai,I20,i20
Hyundai,Santa Fe,santafe
Hyundai, tucson,tucson
Hyundai, I2,i20
Hyundai, KON,kona
Hyundai, IONIQ,ioniq
Hyundai, ix20,ix20
Hyundai,I30,i30
Hyundai, kona,kona
Hyundai,IONIQ,ioniq
Hyundai, TUCSO,tucson
Hyundai, i40,i40
Hyundai,Tucso,tucson
Hyundai, IX2,ix20
Hyundai, ix35,ix35
Hyundai,IX35,ix35
Hyundai, ioniq,ioniq
Hyundai,IX20,ix20
Hyundai, Terracan,terracan
Hyundai, Veloster,terracan
Hyundai,I2,i20
Hyundai,I800,i800
Hyundai, I4,i40
